split_id,split_name,days_per_week,experience_tier,goal_variant,representative_goal,goals_covered,muscle,direct_sets,target_min,target_optimal_low,target_optimal_high,status
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,chest,6,6,6,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,back,8,8,8,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,side_delts,5,4,5,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,rear_delts,4,3,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,biceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,triceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,quads,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,hamstrings,5,5,5,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,glutes,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,calves,4,4,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,abs,0,3,3,8,ZERO
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,chest,6,6,6,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,back,8,8,8,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,side_delts,5,4,5,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,rear_delts,4,3,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,biceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,triceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,quads,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,hamstrings,5,5,5,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,glutes,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,calves,4,4,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,2 of 4,strength,strength,abs,0,3,3,8,ZERO
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,chest,6,6,6,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,back,8,8,8,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,side_delts,5,4,5,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,rear_delts,4,3,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,biceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,triceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,quads,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,hamstrings,5,5,5,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,glutes,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,calves,4,4,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,3 of 4,lose,lose,abs,0,3,3,8,ZERO
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,chest,6,6,6,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,back,8,8,8,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,side_delts,5,4,5,9,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,rear_delts,4,3,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,biceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,triceps,3,3,3,6,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,quads,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,hamstrings,5,5,5,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,glutes,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,calves,4,4,4,8,optimal
full_body_2x,Full Body 2×/week,2,beginner,4 of 4,endurance,endurance,abs,0,3,3,8,ZERO
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,chest,10,10,10,15,optimal
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,back,10,10,10,20,optimal
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,side_delts,6,6,8,16,below_optimal
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,rear_delts,6,6,6,14,optimal
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,biceps,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,triceps,6,6,6,10,optimal
full_body_2x,Full Body 2×/week,2,intermediate,1 of 4,muscle,muscle | maintain | default | recomp | cut_strength | cut_endurance | powerbuilding | hybrid_muscle | hybrid_strength | powerbuilding_cut | athletic_recomp | athletic_cut | athletic_bulk,quads,10,10,10,15,optimal
